slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
muse,Muse,Canada,Consumer Neurotech,Monitoring; Wellness,2014,Series C+,EEG,,,Wellness,,Non-medical,"Empowering meditation and mental fitness with wearable EEG headbands (Muse) that deliver real-time neurofeedback for focus, relaxation, and sleep.","Muse is one of the most recognizable consumer EEG brands, using neurofeedback to support meditation, sleep, and mental fitness. Its differentiation is less about raw sensing sophistication and more about product design, user experience, and category creation in wellness neurotech.",https://choosemuse.com/,https://www.neurofounders.co/startups/muse,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bcfa58db1e04ecedfa30f_interaxon_inc_logo.jpeg,neurosity; mendi; sens-ai; connectome-health; brainbit
myndlift,Myndlift,Israel,Consumer Neurotech,Monitoring; Wellness,2016,Series A,EEG,,,Wellness,,Non-medical,Developing a personalized neurofeedback platform that uses EEG data to support mental health and cognitive training at home.,"Myndlift sits in the at-home neurofeedback segment, combining EEG-derived training with software delivery for personalized mental-wellness support. It is better understood as a scalable consumer-therapy platform than a deeply differentiated neurotech hardware company.",https://www.myndlift.com/,https://www.neurofounders.co/startups/myndlift,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512c6d186c031f1d46c2d9_myndlift_logo.jpeg,brainbit; nextsense; neurable; sens-ai; muse
myndspan,MYndspan,UK,Neuroimaging,Diagnostics; Aging,2020,Non-dilutive,MEG,,,Wellness,,Non-medical,Providing consumer-accessible magnetoencephalography (MEG) brain scans to measure brain function and detect subtle signs of cognitive decline earlier.,"MYndspan is unusual in bringing MEG, a traditionally expensive institutional modality, into a consumer-facing brain-health offering. This is strategically distinctive but commercially narrow, given the infrastructure and pricing constraints inherent to MEG-based services.",https://myndspan.com/,https://www.neurofounders.co/startups/myndspan,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b59cf92018b862c0cc058_renita_medical_logo.jpeg,idun-technologies; naox-technologies; atlas; neuvana; connectome-health
nalu-medical,Nalu Medical,USA,Neuromodulation,Therapeutics; Clinical Workflows,2017,Acquired,Nerve stimulator,,,Pain/migraine,,FDA cleared (510k),"Developing an implantable neuromodulation system with a miniaturized, battery-free architecture for chronic pain and neurological conditions.","Nalu Medical is one of the more commercially advanced miniaturized neuromodulation companies, using a battery-free implant architecture to reduce implant burden in chronic pain treatment. Its FDA-cleared status and acquisition support make it a credible procedural innovator in peripheral neuromodulation.",https://www.nalumed.com/,https://www.neurofounders.co/startups/nalu-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512d242c52733e80a0fa2e_nalu_medical_inc_logo.jpeg,salvia-bioelectronics; neuronoff; capri-medical; cefaly; neuros-medical
naox-technologies,NAOX Technologies,France,Neuroimaging,Monitoring; Clinical Workflows,2018,Seed,EEG,,,Sleep,,FDA cleared (510k),Developing an in-ear EEG system for continuous brain activity monitoring in clinical and home settings.,"NAOX Technologies is positioned around in-ear EEG as a continuous monitoring modality that could bridge clinical and home use. Its discreet form factor is compelling, though it must still prove that ear-EEG delivers sufficient signal quality for meaningful medical applications.",https://naox-technologies.com,https://www.neurofounders.co/startups/naox-technologies,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69625dfd4f106d48d33e4b34_naox_technologies_logo.jpeg,idun-technologies; nextsense; atlas; neurable; neurox
naqi-logix,Naqi Logix,Canada,Consumer Neurotech,Assistive Technology; OEM,2020,Seed,EEG,,,Other,,Non-medical,"Developing non-invasive neural earbuds that translate brain, muscle, and facial signals into hands-free digital device control.","Naqi Logix sits at the intersection of consumer BCI, assistive technology, and spatial-computing input. Its positioning is differentiated by using earbuds as a neural-interface form factor, giving it a more familiar hardware pathway than headset-based or implantable control systems.",https://www.naqilogix.com,https://www.neurofounders.co/startups/naqi-logix,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d4ac8350945fd90cf309e_1630639934308.jpeg,idun-technologies; wisear; wearable-devices; cognixion; ctrl-labs
navifus,NaviFUS,Taiwan,Tools and Infrastructure,Therapeutics; Experimental,2015,Public,Ultrasound,,,Other,,Investigational,Developing neuronavigation-guided focused ultrasound systems for blood-brain barrier opening and neuromodulation in brain tumors and epilepsy.,"NaviFUS sits in the focused ultrasound drug-delivery infrastructure layer, with BBB opening as the clearest clinical and strategic focus. Its profile is unusually advanced for the category, with multiple clinical programs, public-market access in Taiwan, and partnerships around microbubble-enabled CNS delivery.",https://navifus.com,https://www.neurofounders.co/startups/navifus,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e783b8acef9eb8c51eee_navifus_corporation_logo.jpeg,carthera; sononeu; sonomind; therasonic; attune-neurosciences
nervonik,Nervonik,USA,Neuromodulation,Therapeutics; Clinical Workflows,2020,Seed,Nerve stimulator,,,Pain/migraine,,Investigational,"Developing a non-invasive peripheral nerve stimulation platform for chronic pain, neurological rehabilitation, and autonomic modulation.","Nervonik is an early-stage non-invasive peripheral nerve stimulation company targeting chronic pain without implants. The segment is highly competitive with established players, and differentiation requires demonstrating meaningful outcome improvements over conventional TENS or more established wearable nerve stimulators.",https://nervonik.com/,https://www.neurofounders.co/startups/nervonik,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df6fc506fb395424e09989_nervonik_inc_logo.jpg,cefaly; theranica; neuros-medical; spr-pain-relief
netholabs,Netholabs,UK,Tools and Infrastructure,Data Infrastructure; Experimental,2022,Seed,Software,,,Research,,Research only,Developing large-scale neural-behavioral datasets and whole-brain functional recording systems for ethology and whole-brain emulation research.,"Netholabs is best understood as a data infrastructure company for large-scale neural-behavioral datasets and whole-brain functional recording, serving frontier neuroscience rather than clinical markets. Its strategic value would come from owning unique data assets and tooling.",https://netholabs.com/,https://www.neurofounders.co/startups/netholabs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1edb264a03a31dc69efe96_netholabs_logo.jpeg,nimbus; karavela-ai; somareality; zander-labs; arctop
neubond,Neubond,United Kingdom,Neuromodulation,Therapeutics; Rehabilitation,2024,Seed,Nerve stimulator,,,Stroke,,Investigational,Developing wearable closed-loop neurorehabilitation devices that detect movement intention and stimulate muscles for home-based stroke recovery.,"Neubond sits in home-based stroke neurorehabilitation, using wearable sensing and stimulation to make movement-intention training more continuous outside the clinic. Its positioning is differentiated by an Imperial-origin closed-loop interface, with clinical and regulatory translation still early.",https://neubond.co.uk,https://www.neurofounders.co/startups/neubond,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e9932d19d3a3d0e0c848_neubond_logo.jpeg,cionic; cala-health; encora-therapeutics; empatica; magnetic-tides
neucyber-neurotech,NeuCyber NeuroTech,China,Brain-Computer Interface,Assistive Technology; Experimental,2023,Non-dilutive,Intracortical,,,Paralysis/motor,,Investigational,Developing semi-invasive brain-computer interface implants to decode neural signals for assistive control in patients with paralysis.,"NeuCyber NeuroTech sits in China’s state-backed implantable BCI ecosystem, with Beinao-1 focused on assistive control for patients with severe motor impairment. Its positioning is notable for using a semi-invasive cortical-surface approach as part of a broader national push toward domestic BCI development.",,https://www.neurofounders.co/startups/neucyber-neurotech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d79265fcb7d3c23d12b11_Flag_of_the_People%27s_Republic_of_China_(cropped).svg.png,neuracle; stairmed; zhiran-medical; synchron; neuralink
neunos,Neunos,Hungary,Neuromodulation,Experimental; Closed-loop,2018,Non-dilutive,Intracortical,,,Epilepsy,,Investigational,"Developing an implantable, closed-loop seizure suppression system that detects epileptic activity and delivers transcranial electrical stimulation to terminate episodes.","Neunos is developing a closed-loop seizure suppression platform, pairing detection with responsive stimulation to terminate epileptic activity. This places it in the same high-value therapeutic category as responsive neurostimulation systems, though at a much earlier stage.",http://www.neunos.com,https://www.neurofounders.co/startups/neunos,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5560e4e5828b120ee00b_neunos_logo.jpeg,neuralpulse; synergia-medical; epiminder; inbrain-neuroelectronics; neurosoft-bioelectronics
neupulse,Neupulse,UK,Neuromodulation,Therapeutics; Pediatric,2021,Seed,Nerve stimulator,,,Neurodevelopmental,,Investigational,Developing a wearable neuromodulation device using median nerve stimulation to reduce tic frequency in Tourette Syndrome.,"Neupulse targets Tourette syndrome through wearable median nerve stimulation, addressing an under-served neurological indication with a non-invasive approach. Its differentiation is largely indication-specific, which can be strategically powerful if clinical efficacy is proven.",https://www.neupulse.co,https://www.neurofounders.co/startups/neupulse,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69ce8ac4022788d451f9e8d3_1643634361614.jpeg,mindmuscle; neuraura; neuronoff; cala-health; theranica
neurable,Neurable,USA,Consumer Neurotech,Wellness; Monitoring,2015,Series A,EEG,,,Wellness,,Non-medical,Developing BCI-enabled headphones and AI-driven platforms that turn brain signals into control and cognitive insight via everyday wearables.,"Neurable is one of the more visible attempts to embed BCI into everyday consumer hardware, shifting EEG from headsets to headphone-like wearables. Its strategic bet is that convenience and design will unlock adoption where traditional BCI form factors have failed.",https://www.neurable.com/,https://www.neurofounders.co/startups/neurable,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd250244db8ff9634d36c_neurable_logo.jpeg,nextsense; wisear; naox-technologies; idun-technologies; atlas
neuracle,Neuracle,China,Brain-Computer Interface,Assistive Technology; Therapeutics,2011,Series C+,ECoG,,,Paralysis/motor,,Other approval,Developing an implantable BCI system that decodes motor intent to support hand grasp restoration after cervical spinal cord injury.,"Neuracle sits in China’s clinical BCI segment, with NEO positioned around hand grasp restoration after cervical spinal cord injury. Its positioning is differentiated by a minimally invasive extradural interface and a narrow approved motor-restoration use case.",https://www.neuracle.cn,https://www.neurofounders.co/startups/neuracle,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d78c5e96dbab2b75649c0_cDTfw6zP7vFwLWqB7yPFMzmGEA51671124273252_200x200.png,neucyber-neurotech; stairmed; zhiran-medical; synchron; onward-medical
neural-galaxy,Neural Galaxy,China,Neuromodulation,Therapeutics; Closed-loop,2019,Series A,TMS,,,Multi-indication,,Investigational,Developing a precision non-invasive neuromodulation platform that uses individualized brain functional mapping to guide targeted iTBS stimulation.,"Neural Galaxy sits in precision non-invasive neuromodulation, using individualized functional brain mapping to guide targeted stimulation across neurological and psychiatric indications. Its positioning is notable within China’s brain-tech ecosystem because it links mapping, decoding, and TMS-based intervention into a multi-indication clinical platform.",https://www.neuralgalaxy.com,https://www.neurofounders.co/startups/neural-galaxy,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d7877ea21c3e5962b935c_neural_galaxy_logo.jpeg,nexstim; magnus-medical; sinaptica-therapeutics; brainsway; ampa-health
neuralight,NeuraLight,Israel,Diagnostics and Assessment,Machine Learning; Decision Support,2021,Series A,Biomarkers,,,Parkinson's,,Research only,Extracting eye-movement biomarkers via AI and computer vision from standard webcams or smartphones to accelerate CNS drug development and neurology diagnostics.,"NeuraLight is best understood as a pharma-enabling biomarker company, using eye-movement analysis from ordinary cameras to generate objective CNS endpoints for trials and diagnostics. Its modality is low-friction and scalable, giving it strong appeal in decentralized and data-rich clinical settings.",https://neuralight.ai,https://www.neurofounders.co/startups/neuralight,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd238bff8b8c11a39e3fe_1689650086158.jpeg,alto-neuroscience; machine-medicine; rune-labs; empatica; kneu-health
neuralink,Neuralink,USA,Brain-Computer Interface,Rehabilitation; Therapeutics,2016,Series C+,Intracortical,,,Paralysis/motor,,Investigational,"Developing high-channel-count implantable brain-computer interfaces to restore motor function, enable communication, and eventually merge humans with AI.","Neuralink is the most visible high-bandwidth invasive BCI company, differentiated by its vertically integrated approach spanning surgical robotics, custom chips, and implantable threads. Its profile and capital access are unmatched, though its long-term ambitions still far exceed its current clinical scope.",https://neuralink.com/,https://www.neurofounders.co/startups/neuralink,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd280118507ddea8dcdff_neuralink_logo.jpeg,precision-neuroscience; synchron; blackrock-neurotech; cortec; inbrain-neuroelectronics
neuralpulse,NeuralPulse,UK,Neuromodulation,Closed-loop; Therapeutics,2025,Non-dilutive,Intracortical,,,Epilepsy,,Investigational,"Creating implantable adaptive neuromodulation that probes brain responses, predicts seizures, and delivers responsive stimulation to prevent them.","NeuralPulse is positioned in adaptive epilepsy neuromodulation, combining brain-response probing with predictive stimulation in a closed-loop implant architecture. It remains highly early-stage but fits squarely within the broader transition from open-loop to responsive therapies.",https://www.neural-pulse.com/,https://www.neurofounders.co/startups/neuralpulse,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd26462778a03ef7d049f_neural_pulse_logo.jpeg,neunos; synergia-medical; inbrain-neuroelectronics; epiminder; epitel
neuramatrix,NeuraMatrix,China,Tools and Infrastructure,Data Infrastructure; Closed-loop,2019,Series A,Multimodal,,,Research,,Unknown,"Developing neural-interface hardware, chips, and software platforms for invasive BCI research, clinical development, and neural data infrastructure.","NeuraMatrix sits in China’s BCI infrastructure layer, providing chips, neural-interface hardware, software, and data systems for downstream research and clinical translation. Its positioning is notable because it supplies enabling components across invasive, non-invasive, recording, and stimulation workflows.",https://www.neuramatrix.com.cn,https://www.neurofounders.co/startups/neuramatrix,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d77b15c75015bd6d13808_images%20(2).png,blackrock-neurotech; cortec; paradromics; synchron; mintneuro
neuraura,Neuraura,Canada,Neuromodulation,Therapeutics; Monitoring,2017,Seed,Nerve stimulator,,,Women's health,,Investigational,Developing wearable bioelectronic devices combining micro-electrodes and stimulation to relieve PCOS symptoms and enhance personalized chronic care.,"Neuraura occupies a niche at the intersection of women’s health and bioelectronic medicine, using wearable neuromodulation for PCOS symptom management. Its differentiation comes more from indication choice than modality novelty, giving it a distinct but narrow market position.",https://www.getlooop.com,https://www.neurofounders.co/startups/neuraura,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69773b02b17249477c742841_loops.jpg,amber-therapeutics; samphire-neuroscience; spark-biomedical; neupulse; neuronoff
neuraworx,NeuraWorx,USA,Neuromodulation,Experimental; Therapeutics,2021,Seed,Others,,,Multi-indication,,Investigational,Developing bioelectronic neuromodulation technologies to enhance cerebral waste clearance by modulating cerebrovascular dynamics and glymphatic system function.,"NeuraWorx is developing neuromodulation technologies aimed at influencing glymphatic and cerebrovascular dynamics, a mechanistically unusual angle compared with mainstream stimulation companies. This makes it scientifically differentiated, though also comparatively speculative.",https://www.neuraworx.com/,https://www.neurofounders.co/startups/neuraworx,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69551333370e5b8b403db6ee_neuraworx_logo.jpeg,positrigo; subsense-inc; machinemd; spark-biomedical; openwater
neurinnov,Neurinnov,France,Neuromodulation,Rehabilitation; Therapeutics,2018,Non-dilutive,Nerve stimulator,,,Paralysis/motor,,Investigational,Developing an implantable neurostimulation system that selectively activates nerves to restore hand and arm movement in paralysis.,"Neurinnov is building implantable stimulation systems for upper-limb restoration in paralysis, targeting functional recovery rather than general neuromodulation. It sits in the rehabilitation neuroprosthetics category, where clinical proof of meaningful motor gains will be decisive.",https://neurinnov.com/,https://www.neurofounders.co/startups/neurinnov,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5a2c00f71e3a1e89e4cc_neurinnov_logo.jpeg,manava-plus; neuralink; ruten-inc; synaptrix-labs; morph-labs
neuro-event-labs,Neuro Event Labs,Finland,Diagnostics and Assessment,Diagnostics; Monitoring,2015,Series A,Biomarkers,,,Epilepsy,,FDA cleared (510k),Providing an AI-powered video and audio seizure monitoring system for epilepsy diagnostics and clinical workflow support.,"Neuro Event Labs sits in the clinical seizure-monitoring infrastructure segment, using AI analysis of video and audio to support epilepsy diagnostics and follow-up. Its positioning is differentiated by focusing on objective seizure-event capture within clinical workflows, especially where continuous specialist observation is difficult to scale.",https://neuroeventlabs.com,https://www.neurofounders.co/startups/neuro-event-labs,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5e81b13ed286908f3f24_neuro_event_labs_logo.jpeg,theta-neurotech; empatica; eysz; beacon-biosignals; uneeg-medical
neuro42,Neuro42,USA,Neuroimaging,Diagnostics; Clinical Workflows,2020,Series A,(f)MRI,,,Head injury,,FDA cleared (510k),"Building FDA-cleared portable, robotic and AI-driven MRI platforms that bring real-time neuroimaging and interventional guidance directly to patients.","neuro42 is differentiated by combining portable MRI with robotics and AI, targeting bedside imaging and interventional guidance rather than conventional radiology throughput. Its ambition is significant, though execution requires mastering both hardware complexity and hospital integration.",http://www.neuro42.ai/,https://www.neurofounders.co/startups/neuro42,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bdb2be6fb706840d2a27e_1719951015875.jpeg,deepspin; cerebriu; cercare-medical; brainkey; emvision
neuroacoustics,Neuroacoustics,USA,Neuromodulation,Closed-loop; Therapeutics,2023,Pre-seed,Light/sound,,,Sleep,,Preclinical,"Using non-invasive acoustic stimulation during sleep to modulate brain oscillations and improve cognition, neurological health, and sleep quality.","Neuroacoustics sits in the sleep and cognition modulation segment, using acoustic stimulation to shape brain oscillations non-invasively. Its approach is low-risk and accessible, though it competes in a crowded field of sleep-focused neurostimulation and wellness products.",https://www.neuroacoustics.io/,https://www.neurofounders.co/startups/neuroacoustics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd2f2a3c97dafaae9f14b_neuroacoustics_logo.jpeg,neurolight; naox-technologies; nextsense; x-trodes; noctrix-health
neurobell,NeuroBell,Ireland,Diagnostics and Assessment,Pediatric; Monitoring,2022,Seed,EEG,,,Epilepsy,,Investigational,"Providing pocket‑sized, AI‑powered wireless EEG monitoring that detects neonatal seizures at the NICU bedside for early intervention.","NeuroBell targets a clear clinical pain point in neonatal seizure detection, using compact wireless EEG and AI for bedside monitoring in NICUs. Its niche is narrower than adult EEG platforms but potentially more defensible due to workflow specificity and urgency.",https://www.neurobell.com/,https://www.neurofounders.co/startups/neurobell,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd2ba76d4b35ad075c6f7_neurobell_logo.jpeg,elda-braintech; epitel; braincapture; theta-neurotech; ceribell
neurobionics,NeuroBionics,USA,Tools and Infrastructure,Experimental; OEM,2023,Seed,Endovascular,,,Multi-indication,,Preclinical,Developing minimally invasive implantable bioelectronic fiber systems for targeted neuromodulation therapies and integrated neural interfacing in clinical and research contexts.,"NeuroBionics is positioned at the materials-and-interface frontier, developing implantable bioelectronic fibers for targeted neuromodulation and sensing. This places it as enabling infrastructure for future implants rather than a fully formed therapeutic company today.",https://neurobionics.io/,https://www.neurofounders.co/startups/neurobionics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6952d67b1bcebaf3705279e2_neurobionics_logo.jpeg,synchron; vonova; starfish-neuroscience; subsense-inc; longeviti-neuro-solutions
neurobrave,NeuroBrave,USA,Tools and Infrastructure,Machine Learning; Decision Support,2020,Seed,Software,,,Research,,Non-medical,Developing a hardware-agnostic AI software platform that converts wearable biosensor data into real-time cognitive and emotional state insights.,"NeuroBrave is best understood as a software analytics layer for wearable biosensors, translating multimodal data into cognitive and emotional insights. Its differentiation depends on model quality and developer adoption rather than proprietary hardware.",http://neurobrave.com,https://www.neurofounders.co/startups/neurobrave,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512dcb4be1cfd6177fe14b_neurobrave_logo.jpeg,yneuro; zander-labs; surf-therapeutics; purple-gaze; subtle-medical
neurocast,Neurocast,Netherlands,Diagnostics and Assessment,Diagnostics; Machine Learning,2017,Seed,Software,,,Multi-indication,,Investigational,"Passively monitoring brain health via AI-based keystroke and smartphone behavior analysis, delivering real-world neurological data non-invasively.","Neurocast occupies the passive digital biomarker segment, inferring neurological state from keystrokes and smartphone behavior rather than dedicated sensors. This low-friction model is appealing for scale, though it can struggle with signal specificity and clinical credibility.",https://www.neurocast.ai,https://www.neurofounders.co/startups/neurocast,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd312adc23654d48b97a8_neurocast_logo.jpeg,neuroventis; imeka; neurophet; bios-health; icometrix
neuroclues,neuroClues,Belgium,Diagnostics and Assessment,Diagnostics; Machine Learning,2020,Series A,Biomarkers,,,Parkinson's,,CE-Marked,Developing an AI-powered eye-tracking biomarker platform to support neurological assessment and monitoring in clinical practice.,"neuroClues sits in the clinical neurodiagnostics infrastructure segment, using eye-tracking biomarkers to support neurological assessment and monitoring. Its positioning is differentiated by translating oculomotor measurement into a CE-marked clinician-facing tool for Parkinsonian and broader neurological disorders.",https://neuroclues.com,https://www.neurofounders.co/startups/neuroclues,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d5cefc5e22316b60c1642_neuroclues_logo.jpeg,neuralight; altoida; viewmind; beacon-biosignals; rune-labs
neuroconcise,NeuroCONCISE,UK,Tools and Infrastructure,Machine Learning; Assistive Technology,2016,Seed,EEG,,,Research,,Research only,Developing wearable EEG-based BCIs that use AI to translate brain activity into control signals for assistive communication and assessment.,"NeuroCONCISE develops wearable EEG BCIs for communication and assessment, placing it in the non-invasive assistive interface market. Its challenge is differentiation in a segment crowded with hardware-plus-software EEG entrants.",http://www.neuroconcise.co.uk,https://www.neurofounders.co/startups/neuroconcise,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b541b7479b3f127e93108_neuroconcise_ltd_logo.jpeg,anthriq; bitbrain; emotiv; g-tec; synchroni
neurode,Neurode,Australia,Neuromodulation,Therapeutics; Experimental,2021,Pre-seed,tDCS/tES,,,Psychiatry,,Investigational,"Offerign a wearable, drug-free headband that stimulates and tracks brain activity for managing ADHD symptoms in just 20 minutes daily.","Neurode is positioned as a consumer-friendly ADHD neuromodulation platform, combining stimulation and tracking in a short daily routine. It straddles wellness and therapy, with the main strategic question being whether it can achieve medical-grade outcomes with consumer-grade simplicity.",https://www.neurodelabs.com,https://www.neurofounders.co/startups/neurode,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd33717448a8b3f6ce765_neurode_logo.jpeg,samphire-neuroscience; flow-neuroscience; mave-health; marbles-health; fisher-wallace-labs
neuroelectrics,Neuroelectrics,Spain,Neuromodulation,Therapeutics; Clinical Workflows,2011,Series A,EEG,,,Psychiatry,,Investigational,"Providing Starstim and Enobio devices for wireless EEG monitoring and non-invasive brain stimulation, applied in research, clinical trials, and therapy.","Neurode is positioned as a consumer-friendly ADHD neuromodulation platform, combining stimulation and tracking in a short daily routine. It straddles wellness and therapy, with the main strategic question being whether it can achieve medical-grade outcomes with consumer-grade simplicity.",https://www.neuroelectrics.com/,https://www.neurofounders.co/startups/neuroelectrics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd34f813747f4be05d146_neuroelectrics_barcelona_s_l__logo%20(1).jpeg,fisher-wallace-labs; g-tec; flow-neuroscience; marbles-health; mave-health
neuroem-therapeutics,NeuroEM Therapeutics,USA,Neuromodulation,Aging; Experimental,2013,Series A,Others,,,Dementia/impairment,,Investigational,Developing wearable head devices delivering transcranial electromagnetic treatment (TEMT) for Alzheimer’s and related dementias.,"NeuroEM Therapeutics operates in the electromagnetic treatment segment for Alzheimer’s, using wearable TEMT devices aimed at slowing or improving cognitive decline. It sits in a mechanistically distinct but still investigational subset of dementia neuromodulation.",https://neuroem.com/,https://www.neurofounders.co/startups/neuroem-therapeutics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd2db04d2c70d41a89ee3_neuroem_logo.jpeg,clarity; cognito-therapeutics; bottneuro; grey-matter-neurosciences; linus-health
neurolief,Neurolief,Israel,Neuromodulation,Therapeutics; Clinical Workflows,2014,Seed,Nerve stimulator,,,Psychiatry,,FDA approved (PMA),"Delivers wearable, at-home neuromodulation via Relivion, stimulating multiple cranial nerve branches to relieve migraine and depression.","Neurolief is differentiated by its multi-branch cranial nerve stimulation headset, positioning Relivion as a more distributed neuromodulation approach than single-nerve wearables. Its approval pathway and at-home use case give it stronger commercial grounding than many consumer-adjacent stimulation products.",http://www.neurolief.com/,https://www.neurofounders.co/startups/neurolief,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd36895754d4c135f962a_neurolief_logo.jpeg,ampa-health; magnus-medical; flow-neuroscience; neurosigma; synergia-medical
neurolife,NeuroLife,United States,Neuromodulation,Therapeutics; Rehabilitation,2026,Seed,Nerve stimulator,,,Rehabilitation,,Investigational,Developing wearable neuromuscular sensing and stimulation sleeves for signal-driven hand and arm rehabilitation after stroke and spinal cord injury.,"NeuroLife sits in wearable neurorehabilitation, translating Battelle’s neural-bypass work into a non-invasive sleeve for upper-limb recovery. Its launch profile is early commercial translation, with seed funding, licensed platform technology, and FDA clearance still ahead.",https://www.neurolifetech.com,https://www.neurofounders.co/startups/neurolife,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41ea350496b4d4db1596ab_1781032057970.jpeg,neubond; cionic; cala-health; cortec; qviti
neurolight,NeuroLight,USA,Neuromodulation,Wellness; Experimental,2017,Non-dilutive,Light/sound,,,Sleep,,Investigational,Developing non-invasive neuromodulation technology using light and sound to induce and replicate targeted brain states.,"NeuroLight sits in the brain-state induction segment, using light and sound stimulation to drive targeted cognitive or sleep-related states. It remains closer to wellness and experimental self-regulation than to regulated neuromodulation therapy.",https://www.NeuroLight.co/,https://www.neurofounders.co/startups/neurolight,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69512faeaee7d6fa0596b32f_neurolight_logo.jpeg,neuroacoustics; somnee; prophetic; earable-neuroscience; neurovalens
neuromod,Neuromod,Ireland,Neuromodulation,Therapeutics; Clinical Workflows,2010,Series B,Light/sound,,,Auditory,,FDA cleared (510k),Developing non‑invasive bimodal neuromodulation device (Lenire) combining tongue and audio stimulation to reduce tinnitus symptoms.,"Neuromod has built one of the most distinctive products in tinnitus neurotechnology, using bimodal stimulation of the tongue and auditory system through Lenire. Its FDA clearance and focused indication make it one of the more successful examples of a category-defining neuromodulation company.",https://neuromod.com/,https://www.neurofounders.co/startups/neuromod,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd37df3846f1282e22761_neuromod_logo.jpeg,brainphonics; sana-health; clarity; cognito-therapeutics; neuronic
neuronic,Neuronic,UK,Consumer Neurotech,Wellness; Experimental,2021,Bootstrapped,Light/sound,,,Wellness,,Non-medical,"Producing wearable, non-invasive near-infrared light helmets that enhance memory, focus, sleep, and cognitive wellness through photobiomodulation.","Neuronic operates in consumer photobiomodulation, selling wearable light-based devices aimed at memory, sleep, and cognitive wellness. Its differentiation is primarily around at-home usability and branding rather than exclusive underlying science.",https://www.neuronic.online,https://www.neurofounders.co/startups/neuronic,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bd4a4d2af33faff6f64ee_neuronic_devices_logo%20(1).jpeg,sens-ai; vielight; halo-neuroscience; neurosity; muse
neuronoff,Neuronoff,USA,Neuromodulation,Experimental; Therapeutics,2017,Seed,Nerve stimulator,,,Pain/migraine,,Investigational,"Developing a minimally invasive, needle-delivered neuromodulation electrode platform to expand access to peripheral nerve stimulation for chronic pain treatment.","Neuronoff is developing a minimally invasive peripheral nerve stimulation electrode platform, aiming to simplify implantation and expand access for chronic pain treatment. Its appeal lies in procedural innovation more than in a new therapeutic mechanism.",https://www.neuronoff.com/,https://www.neurofounders.co/startups/neuronoff,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951307b1c94deb52f7705a7_neuronoff_logo%20(1).jpeg,salvia-bioelectronics; capri-medical; nalu-medical; neuros-medical; cefaly
